board_size,game_time,agent_x_name,agent_o_name,agent_x_time,agent_o_time,winner
5,0.0087299346923828,alpha_beta,rlagent,6.996668302095853e-05,6.63002332051595e-05,Draw
5,0.002418041229248,alpha_beta,rlagent,1.4451833871694713e-05,1.0708967844645182e-05,Draw
5,0.0023369789123535,alpha_beta,rlagent,1.2416106003981373e-05,1.1086463928222656e-05,Draw
3,0.0006709098815917,alpha_beta,rlagent,2.2252400716145832e-05,1.327196756998698e-05,Agent O
5,0.0023941993713378,alpha_beta,rlagent,1.4947010920597955e-05,1.0728836059570312e-05,Draw
5,0.0097367763519287,alpha_beta,rlagent,7.2937745314378e-05,6.792942682902019e-05,Draw
3,0.0007150173187255,RL Agent,Random Agent,4.519400014639056e-05,1.4901161193847656e-05,RL Agent
3,0.000939130783081,RL Agent,Random Agent,3.015039983438328e-05,9.775161743164062e-06,RL Agent
3,0.0008840560913085,RL Agent,Random Agent,2.366699991398491e-05,1.3709068298339844e-05,RL Agent
3,0.0006759166717529,RL Agent,Random Agent,2.455200001350022e-05,1.0251998901367188e-05,RL Agent
3,0.0008339881896972,RL Agent,Random Agent,2.2233199888432865e-05,8.58306884765625e-06,RL Agent
3,0.001011848449707,RL Agent,Random Agent,4.013524994661566e-05,1.2000401814778646e-05,RL Agent
3,0.0008039474487304,RL Agent,Random Agent,2.742700030466949e-05,1.128514607747396e-05,RL Agent
3,0.0008063316345214,RL Agent,Random Agent,2.5062249960683403e-05,1.33514404296875e-05,RL Agent
3,0.0007658004760742,RL Agent,Random Agent,2.2916749912837983e-05,8.821487426757812e-06,RL Agent
3,0.0007741451263427,RL Agent,Random Agent,2.3687500288360752e-05,8.265177408854166e-06,RL Agent
3,0.000385046005249,RLAgent,Random Agent,3.810374983004294e-05,8.662541707356771e-06,RLAgent
3,0.000187873840332,RLAgent,Random Agent,2.456933331510906e-05,7.390975952148437e-06,RLAgent
3,0.0002238750457763,RLAgent,Random Agent,2.1353999954953903e-05,7.311503092447917e-06,RLAgent
3,0.0001752376556396,RLAgent,Random Agent,2.25690000661416e-05,7.271766662597656e-06,RLAgent
3,0.0002079010009765,RLAgent,Random Agent,1.901024961625808e-05,6.9141387939453125e-06,RLAgent
3,0.0001637935638427,RLAgent,Random Agent,2.084733356847816e-05,6.9141387939453125e-06,RLAgent
3,0.0002288818359375,RLAgent,Random Agent,2.017699989664834e-05,6.7551930745442706e-06,RLAgent
3,0.0002400875091552,RLAgent,Random Agent,2.1698250066037872e-05,6.9141387939453125e-06,RLAgent
3,0.0001811981201171,RLAgent,Random Agent,2.1986333194945473e-05,7.867813110351562e-06,RLAgent
3,0.0001819133758544,RLAgent,Random Agent,2.2041666852601335e-05,6.4373016357421875e-06,RLAgent
3,0.0001752376556396,RLAgent,Random Agent,2.195800000966604e-05,7.033348083496094e-06,RLAgent
3,0.0002827644348144,RLAgent,Random Agent,1.990000018849969e-05,7.212162017822266e-06,RLAgent
3,0.0002720355987548,RLAgent,Random Agent,1.73833999724593e-05,8.761882781982422e-06,Draw
3,0.0002250671386718,RLAgent,Random Agent,2.0468750335567165e-05,6.4373016357421875e-06,RLAgent
3,0.0001811981201171,RLAgent,Random Agent,2.270866662001936e-05,7.390975952148437e-06,RLAgent
3,0.0002250671386718,RLAgent,Random Agent,1.9646000055217883e-05,7.0730845133463544e-06,RLAgent
3,0.0002830028533935,RLAgent,Random Agent,1.9825000163109507e-05,7.271766662597656e-06,RLAgent
3,0.0002341270446777,RLAgent,Random Agent,2.14582501030236e-05,6.993611653645833e-06,RLAgent
3,0.0002951622009277,RLAgent,Random Agent,2.15915997614502e-05,7.033348083496094e-06,RLAgent
3,0.0002570152282714,RLAgent,Random Agent,2.141675008715538e-05,7.092952728271484e-06,Random Agent
3,0.0001797676086425,RLAgent,Random Agent,2.3055333258525937e-05,7.033348083496094e-06,RLAgent
3,0.0002779960632324,RLAgent,Random Agent,1.8974800150317604e-05,6.973743438720703e-06,RLAgent
3,0.0002632141113281,RLAgent,Random Agent,1.7749800281308126e-05,6.794929504394531e-06,Draw
3,0.0002210140228271,RLAgent,Random Agent,1.9947999817304662e-05,6.67572021484375e-06,RLAgent
3,0.0002319812774658,RLAgent,Random Agent,2.0552249679894885e-05,6.9141387939453125e-06,RLAgent
3,0.0002119541168212,RLAgent,Random Agent,1.9552000139810843e-05,6.2783559163411456e-06,RLAgent
3,0.0001611709594726,RLAgent,Random Agent,2.005566693696892e-05,5.841255187988281e-06,RLAgent
3,0.0002839565277099,RLAgent,Random Agent,1.889179984573275e-05,6.556510925292969e-06,Draw
3,0.0002861022949218,RLAgent,Random Agent,1.875000034488039e-05,7.271766662597656e-06,Draw
3,0.0002949237823486,RLAgent,Random Agent,1.957499971467769e-05,7.510185241699219e-06,Draw
3,0.000291109085083,RLAgent,Random Agent,1.9858600171573926e-05,7.092952728271484e-06,Draw
3,0.0002908706665039,RLAgent,Random Agent,1.8491999981051777e-05,8.344650268554688e-06,RLAgent
3,0.000230073928833,RLAgent,Random Agent,1.983325000765035e-05,7.2320302327473956e-06,RLAgent
3,0.0002288818359375,RLAgent,Random Agent,1.831275017138978e-05,6.139278411865234e-06,RLAgent
3,0.0002000331878662,RLAgent,Random Agent,2.261099992513967e-05,6.67572021484375e-06,RLAgent
3,0.0002977848052978,RLAgent,Random Agent,2.1074800133646932e-05,6.67572021484375e-06,Draw
3,0.0001709461212158,RLAgent,Random Agent,2.1332999798081193e-05,7.033348083496094e-06,RLAgent
3,0.0002250671386718,RLAgent,Random Agent,1.9885500023519853e-05,6.993611653645833e-06,RLAgent
3,0.0001790523529052,RLAgent,Random Agent,2.1860666493012104e-05,7.510185241699219e-06,RLAgent
3,0.0002808570861816,RLAgent,Random Agent,1.893339976959396e-05,6.556510925292969e-06,Draw
3,0.0002858638763427,RLAgent,Random Agent,2.0774799850187264e-05,6.735324859619141e-06,RLAgent
3,0.000230073928833,RLAgent,Random Agent,2.1218749907347956e-05,7.2320302327473956e-06,RLAgent
3,0.000180959701538,RLAgent,Random Agent,2.1847333300684113e-05,7.033348083496094e-06,RLAgent
3,0.000173807144165,RLAgent,Random Agent,2.0430666760754928e-05,7.510185241699219e-06,RLAgent
3,0.0001749992370605,RLAgent,Random Agent,2.15553330538872e-05,7.033348083496094e-06,RLAgent
3,0.0001709461212158,RLAgent,Random Agent,2.131933312436255e-05,6.556510925292969e-06,RLAgent
3,0.0002896785736083,RLAgent,Random Agent,1.9625000095402357e-05,7.390975952148437e-06,Draw
3,0.0001711845397949,RLAgent,Random Agent,2.1500333483951788e-05,7.033348083496094e-06,RLAgent
3,0.0002219676971435,RLAgent,Random Agent,1.9728999859580657e-05,6.9141387939453125e-06,RLAgent
3,0.0002298355102539,RLAgent,Random Agent,2.092699969580281e-05,7.2320302327473956e-06,RLAgent
3,0.0001780986785888,RLAgent,Random Agent,2.2277666478961084e-05,7.510185241699219e-06,RLAgent
3,0.0001671314239501,RLAgent,Random Agent,2.090299979802997e-05,6.556510925292969e-06,RLAgent
3,0.0002522468566894,RLAgent,Random Agent,1.6850000065460335e-05,6.4373016357421875e-06,RLAgent
3,0.0001740455627441,RLAgent,Random Agent,2.155566653527785e-05,6.4373016357421875e-06,RLAgent
3,0.0002350807189941,RLAgent,Random Agent,2.010425009757455e-05,7.867813110351562e-06,RLAgent
3,0.0001721382141113,RLAgent,Random Agent,2.0819332955094676e-05,6.9141387939453125e-06,RLAgent
3,0.0002267360687255,RLAgent,Random Agent,2.0530750134639675e-05,6.516774495442708e-06,RLAgent
3,0.0002369880676269,RLAgent,Random Agent,2.055200002359925e-05,7.390975952148437e-06,RLAgent
3,0.0001730918884277,RLAgent,Random Agent,2.1069666521119263e-05,7.987022399902344e-06,RLAgent
3,0.0002110004425048,RLAgent,Random Agent,1.937475008162437e-05,6.357828776041667e-06,RLAgent
3,0.0002100467681884,RLAgent,Random Agent,1.859400026660296e-05,6.2783559163411456e-06,RLAgent
3,0.0001962184906005,RLAgent,Random Agent,2.1555667141607653e-05,7.2320302327473956e-06,Random Agent
3,0.000227928161621,RLAgent,Random Agent,1.9479499769659014e-05,6.993611653645833e-06,RLAgent
3,0.0001769065856933,RLAgent,Random Agent,2.283333378727548e-05,6.9141387939453125e-06,RLAgent
3,0.0002241134643554,RLAgent,Random Agent,1.965600017683755e-05,7.390975952148437e-06,RLAgent
3,0.0002522468566894,RLAgent,Random Agent,2.052049990197702e-05,6.735324859619141e-06,Random Agent
3,0.0001811981201171,RLAgent,Random Agent,2.259733325142103e-05,6.556510925292969e-06,RLAgent
3,0.0001568794250488,RLAgent,Random Agent,1.9458333554212004e-05,5.9604644775390625e-06,RLAgent
3,0.0001606941223144,RLAgent,Random Agent,1.95420000939824e-05,6.318092346191406e-06,RLAgent
3,0.0002219676971435,RLAgent,Random Agent,1.968800006579841e-05,6.9141387939453125e-06,RLAgent
3,0.0002329349517822,RLAgent,Random Agent,2.1051749854450463e-05,6.7551930745442706e-06,RLAgent
3,0.0002260208129882,RLAgent,Random Agent,2.013524976973713e-05,6.357828776041667e-06,RLAgent
3,0.0002710819244384,RLAgent,Random Agent,1.8775000171444844e-05,7.212162017822266e-06,RLAgent
3,0.0002250671386718,RLAgent,Random Agent,2.131225005541637e-05,6.198883056640625e-06,RLAgent
3,0.000176191329956,RLAgent,Random Agent,2.151366667627978e-05,7.152557373046875e-06,RLAgent
